Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0.0,41.9136
CA-2017-152156,2017-11-08,2017-11-11,Second Class,CG-12520,FUR-CH-10000454,731.9399999999999,3,0.0,219.58199999999997
CA-2017-138688,2017-06-12,2017-06-16,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0.0,6.8713999999999995
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.03100000000006
US-2016-108966,2016-10-11,2016-10-18,Standard Class,SO-20335,OFF-ST-10000760,22.368000000000002,2,0.2,2.516399999999999
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0.0,14.169399999999996
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0.0,1.9656000000000002
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.71520000000004
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0.0,34.46999999999999
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,FUR-TA-10001539,1706.1840000000002,9,0.2,85.3091999999998
CA-2015-115812,2015-06-09,2015-06-14,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.35680000000002
CA-2018-114412,2018-04-15,2018-04-20,Standard Class,AA-10480,OFF-PA-10002365,15.552000000000003,3,0.2,5.4432
CA-2017-161389,2017-12-05,2017-12-10,Standard Class,IM-15070,OFF-BI-10003656,407.97600000000006,3,0.2,132.59219999999993
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-AP-10002311,68.80999999999999,5,0.8,-123.858
US-2016-118983,2016-11-22,2016-11-26,Standard Class,HP-14815,OFF-BI-10000756,2.5439999999999996,3,0.8,-3.8160000000000016
CA-2015-105893,2015-11-11,2015-11-18,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0.0,13.317599999999999
CA-2015-167164,2015-05-13,2015-05-15,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0.0,9.989999999999995
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0.0,2.4823999999999993
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,TEC-PH-10001949,213.48000000000002,3,0.2,16.01099999999998
CA-2015-143336,2015-08-27,2015-09-01,Second Class,ZD-21925,OFF-BI-10002215,22.72,4,0.2,7.383999999999999
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AR-10000246,19.459999999999997,7,0.0,5.0596
CA-2017-137330,2017-12-09,2017-12-13,Standard Class,KB-16585,OFF-AP-10001492,60.339999999999996,7,0.0,15.688400000000001
US-2018-156909,2018-07-16,2018-07-18,Second Class,SF-20065,FUR-CH-10002774,71.37199999999999,2,0.3,-1.0196000000000005
CA-2016-106320,2016-09-25,2016-09-30,Standard Class,EB-13870,FUR-TA-10000577,1044.6299999999999,3,0.0,240.2649
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,OFF-BI-10001634,11.648000000000001,2,0.2,4.2224
CA-2017-121755,2017-01-16,2017-01-20,Second Class,EH-13945,TEC-AC-10003027,90.57000000000001,3,0.0,11.774100000000004
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-BO-10004834,3083.4300000000003,7,0.5,-1665.0522
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,OFF-BI-10000474,9.618000000000002,2,0.7,-7.0532
US-2016-150630,2016-09-17,2016-09-21,Standard Class,TB-21520,FUR-FU-10004848,124.20000000000002,3,0.2,15.524999999999991
